"Leeftijd,""Marges"",""Regio's"",""Ervaren gezondheid (goed/zeer goed) (%)"",""Eén of meer langdurige aandoeningen (%)"",""Onder- en overgewicht Mate van overgewicht"
"Matig overgewicht (%)"",""Mate van overgewicht Ernstig overgewicht (obesitas) (%)"",""Bewegen en sport Voldoet aan beweegrichtlijnen (%)"",""Wekelijkse sporters (%)"",""Mantelzorg geven Mantelzorger (%)"",""Rokers (%)"",""Alcoholgebruik Voldoet aan richtlijn alcoholgebruik (%)"""
"Totaal,""Waarde"",""GGD Zeeland (GG)"",""72,3"",""36,7"",""35,0"",""16,6"",""46,2"",""47,8"",""16,1"",""15,6"",""49,2"""
"Totaal,""Waarde"",""GGD West-Brabant (GG)"",""73,1"",""34,3"",""36,0"",""16,8"",""44,3"",""55,6"",""14,6"",""15,5"",""42,5"""
"Totaal,""Waarde"",""GGD Hart voor Brabant (GG)"",""74,2"",""35,2"",""35,9"",""15,8"",""46,6"",""59,0"",""14,4"",""15,7"",""40,0"""
"Totaal,""Waarde"",""GGD Brabant-Zuidoost (GG)"",""74,5"",""33,4"",""34,7"",""14,8"",""49,0"",""58,3"",""13,8"",""13,7"",""41,0"""
"Totaal,""Waarde"",""GGD Limburg-Noord (GG)"",""71,7"",""35,8"",""36,4"",""16,6"",""46,9"",""54,3"",""15,9"",""14,2"",""42,8"""
"Totaal,""Waarde"",""GGD Zuid-Limburg (GG)"",""68,1"",""38,7"",""36,7"",""17,7"",""42,1"",""52,4"",""15,3"",""15,9"",""46,5"""
"Totaal,""Waarde"",""GGD Haaglanden (GG)"",""73,1"",""35,0"",""33,3"",""14,2"",""50,8"",""60,0"",""12,6"",""15,8"",""49,7"""
"Totaal,""Waarde"",""GGD Fryslân (GG)"",""75,6"",""34,4"",""35,5"",""16,1"",""49,6"",""53,3"",""13,9"",""15,2"",""43,6"""
"Totaal,""Waarde"",""GGD Zaanstreek/Waterland (GG)"",""71,7"",""35,2"",""35,4"",""16,3"",""47,6"",""57,6"",""13,1"",""15,1"",""46,6"""
Bron: Bron: GGD’en, RIVM en CBS
